date,copper 1st nb
1/2/2013,3.736
1/3/2013,3.717
1/4/2013,3.6935
1/7/2013,3.678
1/8/2013,3.672
1/9/2013,3.6705
1/10/2013,3.709
1/11/2013,3.654
1/14/2013,3.634
1/15/2013,3.6375
1/16/2013,3.6065
1/17/2013,3.662
1/18/2013,3.679
1/22/2013,3.705
1/23/2013,3.6845
1/24/2013,3.6765
1/25/2013,3.652
1/28/2013,3.6615
1/29/2013,3.6915
1/30/2013,3.75
1/31/2013,3.732
2/1/2013,3.7845
2/4/2013,3.7685
2/5/2013,3.77
2/6/2013,3.7405
2/7/2013,3.727
2/8/2013,3.7595
2/11/2013,3.7225
2/12/2013,3.744
2/13/2013,3.7425
2/14/2013,3.7375
2/15/2013,3.737
2/19/2013,3.6495
2/20/2013,3.608
2/21/2013,3.553
2/22/2013,3.533
2/25/2013,3.543
2/26/2013,3.5665
2/27/2013,3.545
2/28/2013,3.5275
3/1/2013,3.4815
3/4/2013,3.483
3/5/2013,3.4965
3/6/2013,3.474
3/7/2013,3.5015
3/8/2013,3.4915
3/11/2013,3.5
3/12/2013,3.538
3/13/2013,3.5095
3/14/2013,3.5235
3/15/2013,3.508
3/18/2013,3.417
3/19/2013,3.3955
3/20/2013,3.4355
3/21/2013,3.423
3/22/2013,3.454
3/25/2013,3.435
3/26/2013,3.4325
3/27/2013,3.4435
3/28/2013,3.402
4/1/2013,3.3745
4/2/2013,3.3785
4/3/2013,3.333
4/4/2013,3.3515
4/5/2013,3.344
4/8/2013,3.371
4/9/2013,3.4415
4/10/2013,3.418
4/11/2013,3.4335
4/12/2013,3.35
4/15/2013,3.273
4/16/2013,3.3055
4/17/2013,3.1875
4/18/2013,3.2045
4/19/2013,3.1485
4/22/2013,3.131
4/23/2013,3.093
4/24/2013,3.157
4/25/2013,3.237
4/26/2013,3.1845
4/29/2013,3.2255
4/30/2013,3.1875
5/1/2013,3.0825
5/2/2013,3.1045
5/3/2013,3.3135
5/6/2013,3.31
5/7/2013,3.3005
5/8/2013,3.371
5/9/2013,3.3415
5/10/2013,3.356
5/13/2013,3.362
5/14/2013,3.2905
5/15/2013,3.267
5/16/2013,3.292
5/17/2013,3.321
5/20/2013,3.357
5/21/2013,3.339
5/22/2013,3.3775
5/23/2013,3.2995
5/24/2013,3.2915
5/28/2013,3.3115
5/29/2013,3.291
5/30/2013,3.33
5/31/2013,3.3075
6/3/2013,3.3455
6/4/2013,3.384
6/5/2013,3.3865
6/6/2013,3.3335
6/7/2013,3.2835
6/10/2013,3.256
6/11/2013,3.21
6/12/2013,3.24
6/13/2013,3.199
6/14/2013,3.215
6/17/2013,3.21
6/18/2013,3.1675
6/19/2013,3.1515
6/20/2013,3.0715
6/21/2013,3.1
6/24/2013,3.0285
6/25/2013,3.076
6/26/2013,3.0405
6/27/2013,3.0595
6/28/2013,3.0575
7/1/2013,3.157
7/2/2013,3.143
7/3/2013,3.1745
7/5/2013,3.065
7/8/2013,3.0995
7/9/2013,3.0645
7/10/2013,3.091
7/11/2013,3.1775
7/12/2013,3.155
7/15/2013,3.1445
7/16/2013,3.1865
7/17/2013,3.1285
7/18/2013,3.1315
7/19/2013,3.14
7/22/2013,3.185
7/23/2013,3.198
7/24/2013,3.179
7/25/2013,3.1855
7/26/2013,3.1055
7/29/2013,3.1075
7/30/2013,3.042
7/31/2013,3.1185
8/1/2013,3.166
8/2/2013,3.1725
8/5/2013,3.168
8/6/2013,3.173
8/7/2013,3.173
8/8/2013,3.2705
8/9/2013,3.3065
8/12/2013,3.303
8/13/2013,3.317
8/14/2013,3.34
8/15/2013,3.3375
8/16/2013,3.363
8/19/2013,3.332
8/20/2013,3.338
8/21/2013,3.3065
8/22/2013,3.33
8/23/2013,3.3485
8/26/2013,3.3195
8/27/2013,3.3285
8/28/2013,3.3015
8/29/2013,3.244
8/30/2013,3.225
9/3/2013,3.2965
9/4/2013,3.2365
9/5/2013,3.241
9/6/2013,3.258
9/9/2013,3.2755
9/10/2013,3.2615
9/11/2013,3.2565
9/12/2013,3.2125
9/13/2013,3.207
9/16/2013,3.227
9/17/2013,3.228
9/18/2013,3.2835
9/19/2013,3.35
9/20/2013,3.3275
